date,rain(mm) in BOUNDARY PILLAR 82.csv 
1985-1986,32.0
1986-1987,18.5
1987-1988,21.0
1988-1989,25.0
1989-1990,20.0
1990-1991,39.0
1991-1992,19.0
1992-1993,12.0
1993-1994,45.0
1994-1995,31.0
1995-1996,6.0
1996-1997,15.0
1997-1998,34.0
1998-1999,19.0
1999-2000,1.0
2000-2001,32.0
2001-2002,12.0
2002-2003,10.0
2003-2004,29.0
2004-2005,13.0
2005-2006,50.0
2006-2007,20.0
2007-2008,5.0
2008-2009,0.2
2009-2010,32.0
2015-2016,29.5
2016-2017,47.5
2017-2018,16.5
2018-2019,26.5
2019-2020,39.5
2020-2021,32.5
2021-2022,40.0
