date,rain(mm) in EN GEDI RD OPP MEZADA.csv 
1955-1956,84.0
1956-1957,156.0
1958-1959,18.0
1959-1960,39.0
1960-1961,74.0
1961-1962,48.0
1962-1963,30.0
1963-1964,71.0
1964-1965,77.0
1965-1966,30.5
1966-1967,32.6
1967-1968,37.6
1968-1969,39.0
1970-1971,54.5
1971-1972,68.0
1972-1973,87.0
1973-1974,87.0
1974-1975,54.0
1975-1976,44.0
1976-1977,16.0
1977-1978,22.0
1978-1979,5.0
1979-1980,75.0
1980-1981,86.0
1981-1982,41.0
1982-1983,31.0
1983-1984,9.0
1984-1985,50.0
1985-1986,39.0
1986-1987,35.0
1987-1988,46.0
1988-1989,46.0
1989-1990,80.0
1990-1991,44.0
1991-1992,40.0
1992-1993,16.0
1993-1994,57.0
1994-1995,31.0
1995-1996,50.0
1996-1997,47.0
1997-1998,58.0
1998-1999,15.0
1999-2000,6.0
2000-2001,25.0
2001-2002,27.0
2002-2003,29.0
2003-2004,87.0
2004-2005,80.0
2005-2006,23.0
2006-2007,31.0
2007-2008,27.0
2008-2009,25.0
2011-2012,19.0
2012-2013,29.0
2013-2014,58.0
2015-2016,54.0
2016-2017,13.5
2017-2018,52.0
2018-2019,43.5
2019-2020,54.5
2020-2021,34.0
2021-2022,17.0
