date,rain(mm) in HAMAKHTESH HAGADOL WEST RIM.csv 
1961-1962,80.0
1962-1963,45.0
1963-1964,207.0
1964-1965,148.0
1965-1966,81.0
1966-1967,115.7
1967-1968,95.5
1968-1969,84.0
1970-1971,150.0
1971-1972,44.0
1972-1973,44.0
1973-1974,158.0
1974-1975,96.0
1975-1976,82.5
1976-1977,99.0
1977-1978,52.0
1978-1979,107.0
1979-1980,197.0
1980-1981,160.0
1981-1982,85.0
1982-1983,158.0
1987-1988,138.0
1988-1989,107.0
1989-1990,134.0
1990-1991,150.0
1991-1992,197.0
1992-1993,81.0
1993-1994,80.0
1994-1995,175.0
1995-1996,42.0
1996-1997,104.0
1997-1998,124.0
1998-1999,43.0
1999-2000,39.0
2000-2001,124.0
2001-2002,100.0
2002-2003,90.0
2003-2004,101.0
2004-2005,133.0
2005-2006,73.0
2006-2007,125.0
2007-2008,67.0
2008-2009,43.0
2009-2010,148.0
2011-2012,58.0
2012-2013,96.0
2013-2014,100.0
2014-2015,167.0
2015-2016,104.0
2016-2017,49.0
2017-2018,70.5
2018-2019,72.0
2019-2020,164.5
2020-2021,32.0
2021-2022,55.0
