date,rain(mm) in HAMESHAR.csv 
1956-1957,74.0
1958-1959,20.0
1959-1960,30.0
1960-1961,39.0
1961-1962,47.0
1962-1963,27.0
1963-1964,25.0
1964-1965,38.0
1965-1966,20.0
1966-1967,36.0
1967-1968,55.0
1968-1969,61.0
1969-1970,17.0
1970-1971,60.0
1971-1972,45.0
1972-1973,25.0
1973-1974,38.0
1974-1975,84.0
1975-1976,37.0
1976-1977,20.0
1977-1978,28.5
1978-1979,17.0
1979-1980,34.0
1980-1981,64.0
1981-1982,22.0
1982-1983,45.0
1983-1984,37.0
1984-1985,17.0
1985-1986,42.0
1986-1987,25.0
1987-1988,83.0
1988-1989,41.0
1989-1990,31.0
1990-1991,45.0
1991-1992,40.0
1992-1993,11.0
1993-1994,48.0
1994-1995,66.0
1995-1996,16.0
1996-1997,24.0
1997-1998,29.0
1998-1999,20.0
1999-2000,2.0
2000-2001,27.0
2001-2002,10.0
2002-2003,21.0
2003-2004,27.0
2004-2005,37.0
2005-2006,13.0
2006-2007,15.0
2007-2008,30.0
2008-2009,7.0
2012-2013,22.0
2013-2014,43.0
2014-2015,38.0
2015-2016,44.0
2016-2017,22.0
2017-2018,54.0
2018-2019,79.0
2019-2020,102.5
2020-2021,11.5
2021-2022,33.0
