date,rain(mm) in HAR HATIRA ASCENT.csv 
1952-1953,80.0
1953-1954,96.2
1954-1955,83.0
1955-1956,125.0
1956-1957,138.0
1957-1958,52.0
1958-1959,102.0
1959-1960,73.0
1960-1961,80.0
1961-1962,84.0
1962-1963,38.0
1963-1964,151.0
1964-1965,148.0
1965-1966,70.0
1968-1969,61.0
1969-1970,101.0
1970-1971,89.0
1971-1972,55.0
1972-1973,55.0
1975-1976,78.0
1976-1977,69.0
1977-1978,46.0
1978-1979,83.0
1979-1980,187.0
1980-1981,133.0
1981-1982,85.0
1982-1983,143.0
1983-1984,65.0
1984-1985,69.0
1985-1986,159.0
1986-1987,66.5
1987-1988,101.0
1988-1989,98.0
1989-1990,81.0
1991-1992,153.0
1992-1993,55.0
1993-1994,72.0
1994-1995,137.0
1995-1996,38.0
1996-1997,103.0
1997-1998,80.0
1998-1999,34.0
1999-2000,33.0
2000-2001,107.0
2001-2002,94.0
2002-2003,76.0
2003-2004,58.0
2004-2005,83.0
2005-2006,63.0
2006-2007,135.0
2007-2008,82.0
2008-2009,48.0
2009-2010,149.0
2010-2011,44.0
2011-2012,133.0
2012-2013,89.0
2013-2014,78.0
2014-2015,114.0
2015-2016,74.0
2016-2017,142.5
2017-2018,67.5
2018-2019,75.5
2019-2020,136.5
2020-2021,16.5
