date,rain(mm) in KM 71 ARAVA RD.csv 
1959-1960,32.0
1960-1961,40.0
1961-1962,38.0
1962-1963,38.0
1963-1964,28.0
1965-1966,33.0
1966-1967,20.0
1967-1968,23.0
1968-1969,36.0
1969-1970,4.0
1970-1971,41.0
1971-1972,67.0
1972-1973,15.0
1973-1974,31.0
1974-1975,76.0
1975-1976,42.0
1976-1977,10.0
1977-1978,9.0
1978-1979,33.0
1979-1980,24.0
1980-1981,47.0
1981-1982,15.0
1982-1983,40.0
1983-1984,13.0
1984-1985,24.0
1985-1986,32.0
1986-1987,26.0
1987-1988,56.0
1988-1989,60.0
1989-1990,23.0
1990-1991,34.0
1991-1992,23.0
1992-1993,25.0
1993-1994,24.0
1994-1995,25.0
1995-1996,17.0
1996-1997,9.0
1997-1998,29.0
1998-1999,31.0
1999-2000,1.0
2000-2001,15.0
2001-2002,6.0
2002-2003,8.0
2003-2004,30.0
2004-2005,11.0
2005-2006,15.0
2006-2007,10.0
2007-2008,13.0
2008-2009,8.0
2009-2010,36.0
2010-2011,7.0
2011-2012,4.0
2014-2015,24.0
2015-2016,34.0
2016-2017,40.0
2017-2018,31.0
2018-2019,19.0
2019-2020,70.0
2020-2021,13.0
2021-2022,33.0
