date,rain(mm) in KOKHAV.csv 
1952-1953,92.0
1953-1954,94.0
1954-1955,66.0
1955-1956,160.0
1956-1957,139.0
1957-1958,77.0
1958-1959,119.0
1959-1960,56.0
1960-1961,71.0
1961-1962,55.0
1962-1963,35.0
1963-1964,166.0
1964-1965,227.0
1965-1966,95.0
1968-1969,86.0
1969-1970,59.0
1971-1972,183.0
1972-1973,56.0
1973-1974,176.0
1974-1975,106.0
1975-1976,44.0
1976-1977,83.0
1977-1978,51.0
1978-1979,84.0
1979-1980,175.0
1980-1981,129.0
1981-1982,59.0
1982-1983,135.0
1983-1984,59.0
1984-1985,71.0
1985-1986,134.0
1986-1987,65.0
1987-1988,110.0
1988-1989,151.0
1989-1990,87.0
1990-1991,160.0
1991-1992,173.0
1992-1993,63.0
1993-1994,58.0
1994-1995,165.0
1995-1996,35.0
1996-1997,119.0
1997-1998,77.0
1998-1999,43.0
1999-2000,36.0
2000-2001,77.0
2001-2002,88.0
2002-2003,75.0
2003-2004,100.0
2004-2005,87.0
2005-2006,58.0
2006-2007,154.0
2007-2008,54.0
2008-2009,39.0
2009-2010,171.0
2011-2012,38.0
2012-2013,101.0
2013-2014,91.0
2014-2015,116.0
2015-2016,104.0
2016-2017,59.0
2017-2018,67.5
2018-2019,71.0
2019-2020,161.5
2020-2021,27.5
2021-2022,71.0
