date,rain(mm) in ROAD 40 - NAHAL ZIN  CROSSING.csv 
1960-1961,93.0
1961-1962,75.0
1962-1963,37.0
1963-1964,172.0
1964-1965,179.0
1965-1966,72.5
1966-1967,85.0
1967-1968,82.0
1968-1969,75.0
1973-1974,113.0
1974-1975,113.0
1976-1977,69.0
1977-1978,57.5
1978-1979,69.0
1979-1980,154.0
1982-1983,145.0
1983-1984,37.0
1984-1985,60.0
1985-1986,73.0
1987-1988,129.0
1988-1989,106.0
1989-1990,92.0
1990-1991,107.0
1991-1992,178.0
1992-1993,60.0
1993-1994,77.0
1994-1995,177.0
1995-1996,32.0
1996-1997,95.0
1997-1998,83.0
1998-1999,21.0
1999-2000,39.0
2000-2001,66.0
2001-2002,48.0
2002-2003,66.0
2003-2004,78.0
2004-2005,52.0
2005-2006,60.0
2006-2007,122.0
2008-2009,39.0
2011-2012,41.0
2012-2013,78.0
2013-2014,83.0
2014-2015,109.0
2015-2016,139.0
2016-2017,52.0
2017-2018,59.5
2018-2019,81.5
2019-2020,165.5
2020-2021,21.5
2021-2022,60.0
