date,rain(mm) in YEROHAM S BOQER ROAD KM 42.csv 
1952-1953,85.0
1953-1954,157.0
1954-1955,92.0
1955-1956,156.0
1956-1957,146.5
1957-1958,48.0
1958-1959,115.0
1959-1960,57.0
1960-1961,94.0
1961-1962,67.0
1962-1963,29.0
1963-1964,198.0
1964-1965,217.0
1965-1966,87.0
1966-1967,117.0
1967-1968,123.0
1968-1969,85.0
1969-1970,70.0
1971-1972,224.0
1972-1973,58.0
1973-1974,191.0
1974-1975,126.0
1975-1976,89.0
1976-1977,71.0
1977-1978,61.0
1978-1979,113.0
1979-1980,192.0
1980-1981,160.0
1981-1982,83.0
1982-1983,199.0
1983-1984,62.0
1984-1985,73.0
1985-1986,165.0
1987-1988,186.0
1988-1989,125.0
1989-1990,95.0
1990-1991,186.0
1991-1992,177.0
1992-1993,76.0
1993-1994,91.0
1994-1995,185.0
1995-1996,43.0
1996-1997,125.0
1997-1998,119.0
1998-1999,30.0
1999-2000,37.0
2000-2001,94.0
2001-2002,94.0
2002-2003,100.0
2003-2004,86.0
2004-2005,104.0
2005-2006,65.0
2006-2007,158.0
2007-2008,66.0
2008-2009,38.0
2009-2010,167.0
2010-2011,38.0
2011-2012,45.0
2012-2013,107.0
2013-2014,84.0
2014-2015,125.0
2015-2016,83.0
2016-2017,55.0
2017-2018,84.0
2018-2019,72.5
2019-2020,153.5
2020-2021,20.0
2021-2022,72.0
