date,rain(mm) in ZAFIT JUNCTION.csv 
1954-1955,96.0
1955-1956,82.0
1958-1959,63.0
1959-1960,29.0
1960-1961,97.0
1961-1962,48.0
1962-1963,32.0
1963-1964,96.0
1964-1965,128.0
1965-1966,54.5
1966-1967,66.2
1967-1968,88.2
1968-1969,63.0
1969-1970,44.0
1970-1971,105.0
1971-1972,99.0
1972-1973,42.0
1973-1974,135.0
1975-1976,71.0
1976-1977,42.0
1977-1978,20.5
1978-1979,47.0
1979-1980,120.0
1980-1981,137.0
1981-1982,26.0
1982-1983,85.0
1983-1984,29.0
1984-1985,54.0
1985-1986,77.0
1988-1989,71.0
1989-1990,86.0
1990-1991,61.0
1991-1992,64.0
1992-1993,30.0
1993-1994,71.0
1994-1995,117.0
1995-1996,22.0
1996-1997,55.0
2011-2012,35.0
2012-2013,44.0
2013-2014,100.0
2014-2015,107.0
2015-2016,78.0
2016-2017,34.5
2017-2018,60.5
2018-2019,67.0
2019-2020,81.0
2020-2021,42.0
2021-2022,30.0
