,station name,mean,std,min,25%,50%,75%,max
1,ZAFIT JUNCTION,68.00816326530611,26.528012998567142,20.5,52.5,68.00816326530612,78.75,137.0
2,"YEROHAM,DAM",96.27936507936508,41.68798582266563,28.5,69.0,96.27936507936508,115.875,255.0
3,YEROHAM S BOQER ROAD KM 42,105.83088235294119,50.80009202705615,20.0,70.25,94.0,141.375,224.0
4,UPPER MA'ALE AQRABIM,58.81969696969698,26.98177996196368,11.3,40.0,58.81969696969697,71.0,150.0
5,SEDOM ASCENT,50.60597014925373,27.526284301620528,10.0,25.5,49.0,70.5,133.0
6,SAYYARIM JUNCTION,22.942857142857143,17.69446375618791,2.0,12.0,19.0,26.0,91.5
7,ROAD 40 - NAHAL ZIN  CROSSING,85.84313725490198,38.17952526090632,21.0,60.0,83.0,94.5,179.0
8,ORON JUNCTION,72.13636363636363,36.004957937031826,21.0,44.25,68.0,94.675,162.0
9,NIZZANA,68.65555555555555,33.86575515149007,20.5,45.75,66.0,93.5,150.0
10,NAHAL ZIN MOUTH,46.40172413793103,25.498885540217312,5.0,30.0,45.0,59.0,114.2
11,NAHAL ZAVOA CROSS,120.00869565217391,50.522567031556285,30.0,83.25,116.5,146.275,264.0
12,NAHAL OMER KM 129,37.224489795918366,22.447406407462058,1.0,19.5,32.0,50.0,85.5
13,NAHAL HIYYON,27.375,19.510274053708052,2.0,12.75,22.0,39.0,89.5
14,MIZPE ELAT,21.32857142857143,18.571461538432278,1.0,5.0,18.25,26.5,83.0
15,MAKHTESH RAMON,64.84426229508198,33.04816310310274,10.5,40.5,63.0,79.0,206.0
16,KOKHAV,95.37121212121211,44.81178922635322,27.5,59.0,87.0,119.0,227.0
17,KM 71 ARAVA RD,27.016666666666666,16.10398835258567,1.0,15.0,26.0,34.0,76.0
18,HAR HORESHA,88.07692307692308,38.87224307975142,27.0,66.0,88.07692307692308,93.0,225.0
19,HAR HATIRA ASCENT,89.3,35.16185762845953,16.5,67.875,83.0,102.75,187.0
20,HAMESHAR,35.83064516129032,19.873434829205294,2.0,22.0,34.91532258064516,43.75,102.5
21,HAMAKHTESH HAGADOL,79.02456140350877,37.700412379273146,20.0,52.0,75.0,102.0,174.0
22,HAMAKHTESH HAGADOL WEST RIM,103.17636363636365,43.18537161136999,32.0,73.0,101.0,133.0,207.0
23,EN GEDI RD OPP MEZADA,45.237096774193546,25.503797898227354,5.0,29.0,44.0,54.5,156.0
24,BEER MENUHA KM 101,32.5,22.002705461352875,0.0,18.75,26.5,44.25,116.5
25,ASHALIM NIZZANA ROAD KM 53,86.0703125,37.101198712879075,25.0,57.75,82.5,113.5,178.0
26,ARVAT YAFRUQ KM 825,31.947761194029848,18.81177496357708,1.0,19.0,29.0,39.0,87.0
